order,date,author,title,published,pages,favorite,
428.,Nov 1987,Mark Twain,Life on the Mississippi ,1882,352 pp.,true,
429.,Nov 1987,Zbigniew Brzezinski,Game Plan,1986,273 pp.,,
430.,Nov 1987,Honoré de Balzac,Ursule Mirouet,1841,266 pp.,,
431.,Nov 1987,Celia McEvedy,The Penguin Atlas of Ancient History,1967,92 pp.,,
432.,Nov 1987,Robert Roberts,The Classic Slum,1971,238 pp.,,
433.,Nov 1987,Colette,Break of Day,,117 pp.,,
434.,Nov 1987,André Malraux,Man's Fate,1934,338 pp.,,
435.,Nov 1987,Jean Racine,Andromache,1672,111 pp.,,
436.,Nov 1987,"Roger Fisher, William Ury",Getting to Yes,1981,154 pp.,,
437.,Dec 1987,Ernst Cassirer,Language and Myth,1946,99 pp.,,
438.,Dec 1987,Mikhail Gorbachev,Perestroika,1987,254 pp.,,
439.,Jan.1988,Adin Steinsaltz,The Essential Talmud,1976,275 pp.,,
440.,Jan 1988,William Shakespeare,A Midsummer Night's Dream,1600,,,
441.,Jan 1988,Voltaire,Letters on England,1733,145 pp.,,
442.,Jan 1988,Tom Wolfe,The Bonfire of the Vanities,1987,659 pp.,,
443.,Jan 1988,,Beowulf,c.8 cent.,115 pp.,,
444.,Jan 1988,P.G. Wodehouse,The Inimitable Jeeves,1924,224 pp.,,
445.,Feb 1988,Gene Lees,Singers and the Song,1987,257 pp.,,
446.,Feb 1988,Mark Twain,Tom Sawyer Abroad and Tom Sawyer Detective,1896,211 pp.,,
447.,Feb 1988,Fyodor Dostoevsky,Notes from the Underground ,1864,158 pp.,true,
448.,Mar 1988,Gretel Ehrlich,The Solace of Open Spaces,1985,131 pp.,,
449.,Mar 1988,Henry Fielding,Joseph Andrews,1742,298 pp.,,
450.,Apr 1988,George Holmes,"The Later Middle Ages, 1272--1485",1962,260 pp.,,
451.,Apr 1988,David J. Garrow,"The F.B.I. and Martin Luther King, Jr.",1981,227 pp.,,
452. , Apr. 1988,George Eliot,Middlemarch,1872,908 pp.,,
453.,May 1988,John Dos Passos,The 42nd Parallel,1930,414 pp.,,
454.,May 1988,,The Vinland Sagas,c.1180 and 1250,105 pp.,,
455.,May 1988,"Michael J. Malbin, ed.",Money and Politics in the United States,1984,270 pp.,,
456.,May 1988,Donald T. Regan,For the Record,1988,379 pp.,,
457.,June 1988,Benjamin Franklin,The Autobiography and other writings,1790,260 pp.,,
458.,June 1988,Elia Kazan,A Life,1988,825 pp.,,
459.,June 1988,Francis Parkman,The Oregon Trail,1849,286 pp.,,
460.,July 1988,Arthur Schopenhauer,The Art of Literature,1841,149 pp.,,
461.,July 1988,Gustave Flaubert,November,1842,132 pp.,,
462.,July 1988,Albert Einstein,Sidelights on Relativity,1921,56 pp.,,
463.,July 1988,Confucius,The Analects,c.500 bc,160 pp.,,
464.,July 1988,Yasunari Kawabata,The Lake,1954,160 pp.,,
465.,July 1988,Marcel Proust,On Reading,1905,67 pp.,,
466.,July 1988,Richard Hofstadter,The Paranoid Style in American Politics and Other Essays,1951-65,315 pp.,,
467.,Aug. 1988,collected, The Poet's Work,1915-77,294 pp.,,
468.,Aug. 1988,Seneca,Epistulae Morales vol. 1,63-65 ad,229 pp.,,
469.,Aug. 1988,Vladimir Nabokov,The Portable Nabokov,1942-68,536 pp.,,
470.,Sept. 1988,various, Quarrels that have Shaped the Constitution,1962,268 pp.,,
471.,Sept. 1988,Jacques Barzun,A Word or Two Before You Go,1986,177 pp.,,
472.,Sept. 1988,Anthony Trollope,Framely Parsonage,1860,563 pp.,,
473.,Nov. 1988,Ovid,Metamorphoses,c. 5 ad,357 pp.,,
474.,Nov. 1988,Christopher Clapham,Third World Politics,1985,186 pp.,,
475.,Dec. 1988,Richard Russo,The Risk Pool,1988,479 pp.,,
476.,Jan. 1989,Charles Dickens,Bleak House,1853,975 pp.,,
477.,Jan. 1989,P.P. Xahane,Ancient and Classical Art,1967,200 pp.,,
478.,Jan. 1989,Charles Baudelaire,Paris Spleen,1869,108 pp.,,
479.,Feb. 1989,Willa Cather,O Pioneers!,1913,309 pp.,,
480.,Feb. 1989,Nadine Gordimer,The Late Bourgeois World,1966,95 pp.,,
481.,Feb. 1989,Jean Corst,"The Life of Birds, vol. 2",1971,338 pp.,,
482.,Mar. 1989,Voltaire,Philosophical Dictionary,1764,400 pp.,,
483.,Mar. 1989,John Stoye,Europe Unfolding 1648-1688,1969,399 pp.,,
484.,Mar. 1989,E.L. Doctorow,Billy Bathgate,1989,323 pp.,,
